Order,Assignment,Unit,Points,Link,Purple highlights have instructional videos
201,Sorting an Array of Records,Records,160,https://programmingbydoing.com/a/sorting-an-array-of-records.html,
202,Sorting Strings,Records,150,https://programmingbydoing.com/a/sorting-strings.html,
203,Sorting Records on Two Fields,Records,200,https://programmingbydoing.com/a/sorting-records-on-two-fields.html,
204,A Deck of Playing Cards,Records,20,https://docs.google.com/document/d/1kpxN9pqAEhQkaiTyiZvggoJG1mSmQBbia4EvmTnpZRc/edit?usp=sharing,
205,A Tic-Tac-Toe Class,Records,100,https://programmingbydoing.com/a/tic-tac-toe-oop.html,
206,Final Project-Text Adventure Game,Records,30,https://docs.google.com/document/d/1bzk_5moNeAVS-BCaGHCwWk2Lb_E9vj_QncVbG7EIzOs/edit?usp=sharing,
207,Basic ArrayLists 0,ArrayLists,20,https://programmingbydoing.com/a/basic-arraylists-0.html,
208,Basic ArrayLists 1,ArrayLists,30,https://programmingbydoing.com/a/basic-arraylists-1.html,
209,Basic ArrayLists 2,ArrayLists,40,https://programmingbydoing.com/a/basic-arraylists-2.html,
210,Basic ArrayLists 3,ArrayLists,25,https://programmingbydoing.com/a/basic-arraylists-3.html,
211,Copying ArrayLists,ArrayLists,55,https://programmingbydoing.com/a/copying-arraylists.html,
212,Finding a Value in an ArrayList,ArrayLists,80,https://programmingbydoing.com/a/finding-a-value-in-an-arraylist.html,
213,ArrayList - There or Not?,ArrayLists,85,https://programmingbydoing.com/a/arraylist-there-or-not.html,
214,ArrayList - Where Is It?,ArrayLists,90,https://programmingbydoing.com/a/arraylist-where-is-it.html,
215,Getting the Largest Value in an ArrayList,ArrayLists,100,https://programmingbydoing.com/a/getting-the-largest-value-in-an-arraylist.html,
216,Locating the Largest Value in an ArrayList,ArrayLists,110,https://programmingbydoing.com/a/locating-the-largest-value-in-an-arraylist.html,
217,Sorting an ArrayList,ArrayLists,120,https://programmingbydoing.com/a/sorting-an-arraylist.html,
218,Sorting an ArrayList of Strings,ArrayLists,150,https://programmingbydoing.com/a/sorting-an-arraylist-of-strings.html,
219,Sorting Sentences,ArrayLists,100,https://programmingbydoing.com/a/sorting-sentences.html,
220,Sorting an ArrayList of Records,ArrayLists,160,https://programmingbydoing.com/a/sorting-an-arraylist-of-records.html,
221,Project: Address Book,ArrayLists,250,https://programmingbydoing.com/a/project-address-book.html,
222,Project: Hearts,ArrayLists,300,https://programmingbydoing.com/a/project-hearts.html,
