Order,Assignment,Unit,Points,Link,Purple highlights have instructional videos
37,Weekday Name,If Statements,15,https://docs.google.com/document/d/1g1CJiPnJfJV35Z1ESFrES4GFIdcIPxdzLpXO9fvPN_4/edit?usp=sharing,
38,"How Old Are You, Specifically?",If Statements,20,https://docs.google.com/document/d/1C1FmHJARUYCeZe9zEWFVJm-SGdWTH1mNpFIExfYBCmo/edit?usp=sharing,
39,Using Swing for Input  - code provided,GUI,25,https://docs.google.com/document/d/1KrN_s0caHxcRUKm70t4azimC-EFu_AIzCAVNHMQBBXQ/edit?usp=sharing,
40,Boring Window,GUI,10,https://docs.google.com/document/d/1bLlCh7jJTw4CC_hrS8id0sGImtrZl9biZlt763UxLEw/edit?usp=sharing,
41,A Frame with a Panel,GUI,20,https://docs.google.com/document/d/17fWQRkqcZUu_bSyI3o5dMjVlR1mv6kFhph61QJRswI8/edit?usp=sharing,
42,Space Boxing,If Statements,30,https://docs.google.com/document/d/1cNfwyxhJg-FgTqfREze-DUaVYklWJAjNAHMkwPCjOnY/edit?usp=sharing,
43, If Statements with Strings,If Statements,10,https://docs.google.com/document/d/1VTcPZ4lsDkA1dYm6drHoaOOpsY3UjacSqMTR6JLGFlg/edit?usp=sharing,
44,A Little Quiz,If Statements,40,https://docs.google.com/document/d/1wnH5Lyq8IwNXdD4ug4V-g3nyP5QH6-VqLtxavr6SYS4/edit?usp=sharing,
45,Mutual Exclusion with Chains of If and Else,If Statements,10,https://docs.google.com/document/d/1Nf0rIKcRfVzKYCE9A02RrkU-Sq4u1xwwCdvknSJa9-Q/edit?usp=sharing,
46,More Chains of Ifs and Else,If Statements,10,https://docs.google.com/document/d/1TBzG6eCgjuFetY3YPFCuM6gH1HgequeJRcdnQuePa24/edit?usp=sharing,
47,Nested If Statements,If Statements,10,https://docs.google.com/document/d/1GvVm_XBkAtI26g5oDaZekZKVqHE7y6nQQrTqoU5jngU/edit?usp=sharing,
48,"Twenty Questions... well, actually just Two",If Statements,35,https://programmingbydoing.com/a/twenty-questions.html,
49,Choose Your Own Short Adventure!,If Statements,60,https://programmingbydoing.com/a/choose-your-own-short-adventure.html,
50,Age Messages 3,If Statements,25,https://programmingbydoing.com/a/age-messages-3.html,
51,Two More Questions,If Statements,35,https://programmingbydoing.com/a/two-more-questions.html,
52,BMI Categories,If Statements,35,https://programmingbydoing.com/a/bmi-categories.html,
53,Making Decisions with a Big Switch,If Statements,10,https://docs.google.com/document/d/1uB2GKm0bDdxlgvGVaOegbatpeHhe9R0UOJMcMdStGYU/edit?usp=sharing,
54,Gender Game,If Statements,50,https://programmingbydoing.com/a/gender-game.html,
55,More String Comparisons,If Statements,10,https://docs.google.com/document/d/1H7fNsBcBmTFCo711yJxkV5hESuZnleUD47Fnb6NnHtg/edit?usp=sharing,
56,compareTo() Challenge,If Statements,35,https://programmingbydoing.com/a/compareto-challenge.html,
57,Alphabetical Order,If Statements,30,https://programmingbydoing.com/a/alphabetical-order.html,
58,The Worst Number-Guessing Game Ever,If Statements,15,https://programmingbydoing.com/a/the-worst-number-guessing-game-ever.html,
59,Choosing Numbers Randomly,Random Numbers,10,https://docs.google.com/document/d/1OWMgV-3gaJIWoZDfpOe7dmMKUBJQVJa9EIEgR0Rr6nY/edit?usp=sharing,
60,Randomness,Random Numbers,15,https://programmingbydoing.com/a/randomness.html,
61,Magic 8-Ball™,Random Numbers,10,https://programmingbydoing.com/a/magic-8ball.html,
62,A Number-Guessing Game,Random Numbers,20,https://programmingbydoing.com/a/a-number-guessing-game.html,
63,Fortune Cookie,Random Numbers,20,https://programmingbydoing.com/a/fortune-cookie.html,
64,Dice,Random Numbers,25,https://programmingbydoing.com/a/dice.html,
65,One Shot Hi-Lo,Random Numbers,35,https://programmingbydoing.com/a/one-shot-hi-lo.html,
66,Three-Card Monte,Random Numbers,20,https://programmingbydoing.com/a/three-card-monte.html,
67,Repeating Yourself with the While Loop,While Loops,10,https://docs.google.com/document/d/1lhq0dHBLinTd6ktI2QzqMFIahct6r-lcVK_OXeX2Mlc/edit?usp=sharing,
68,Enter Your PIN,While Loops,15,https://programmingbydoing.com/a/enter-pin.html,
69,HiLow,While Loops,10,https://docs.google.com/document/d/1xQsxgv84mguhZ1JIiVnxm9cqifnoltX7prbKPVPguN0/edit?usp=sharing,
70,Keep Guessing,While Loops,50,https://programmingbydoing.com/a/keep-guessing.html,
71,Infinite Loops,While Loops,10,https://docs.google.com/document/d/145mofj9zOm_Rf_YXqWLYmcdcZjxgg7hgnRzqGPPqGvU/edit?usp=sharing,
72,Dice Doubles,While Loops,45,https://programmingbydoing.com/a/dice-doubles.html,
73,Counting with a While Loop,While Loops,30,https://programmingbydoing.com/a/counting-while.html,
74,PIN Lockout,While Loops,10,https://programmingbydoing.com/a/pin-lockout.html,
75,Number-Guessing with a Counter,While Loops,40,https://programmingbydoing.com/a/number-guessing-with-a-counter.html,
76,Hi-Lo with Limited Tries,While Loops,55,https://programmingbydoing.com/a/hi-lo-with-limited-tries.html,
77,Adding Values in a Loop,While Loops,30,https://programmingbydoing.com/a/adding-values-in-a-loop.html,
78,Using Loops for Error-Checking,While Loops,10,https://docs.google.com/document/d/1YELPacu_WmI3g1uE6QwKECGF3ta6X2G-3syjKFnKNx4/edit?usp=sharing,
79,Do-While loops,While Loops,10,https://docs.google.com/document/d/1vs2ZR2JhpLjs8h2OWeCrISouKT0w584OJXy5N_M1WLI/edit?usp=sharing,
80,Do-While Swimming,While Loops,15,https://programmingbydoing.com/a/do-while-swimming.html,
81,Flip Again?,While Loops,20,https://programmingbydoing.com/a/flip-again.html,
82,Adding Values One at a Time,While Loops,10,https://docs.google.com/document/d/1xSofCcYRiuFZBbWhTCTcyerE5pYKFPuObElv2MFpJyE/edit?usp=sharing,
83,Adding Values for a Dice Game,While Loops,10,https://docs.google.com/document/d/1xYrjvwcg0Oin0gdkDeGgAE2O1fgh-n6iRp-gaDLcuwE/edit?usp=sharing,
84,Shorter Double Dice,While Loops,40,https://programmingbydoing.com/a/shorter-double-dice.html,
85,Again with the Number-Guessing,While Loops,35,https://programmingbydoing.com/a/again-with-the-number-guessing.html,
86,The Dice Game Called ‘Pig’,While Loops,20,https://docs.google.com/document/d/1SbcIDVZ4JJOyFaHYShteMGW0uUtcXF2sNAakSyh3o2Y/edit?usp=sharing,
87,Safe Square Root,While Loops,55,https://programmingbydoing.com/a/safe-square-root.html,
88,Right Triangle Checker,While Loops,65,https://programmingbydoing.com/a/right-triangle-checker.html,
89,Collatz Sequence,While Loops,40,https://programmingbydoing.com/a/collatz-sequence.html,
90,Short Adventure 2: With a Loop,While Loops,75,https://programmingbydoing.com/a/adventure2.html,
91,Baby Nim,While Loops,60,https://programmingbydoing.com/a/baby-nim.html,
92,Nim,While Loops,90,https://programmingbydoing.com/a/nim.html,
93,Calling a Function,Functions,10,https://docs.google.com/document/d/1TD5ZWR5cWtpQ2NRwhi3w_-t4FWeG_hiKct4XHYDvwhw/edit?usp=sharing,
94,Calling Functions to Draw a Flag,Functions,10,https://docs.google.com/document/d/1tvMMBmVaTfWrejSIypcBOeL-5YTHoE4ZKPUgCMp3FmU/edit?usp=sharing,
95,Displaying Dice with Functions,Functions,15,https://docs.google.com/document/d/16GlyHuRsvOhBLGE2kDwNsvLPbfVazV6HPxVKH6gDDeY/edit?usp=sharing,
96,Picture Menu,Functions,10,https://programmingbydoing.com/a/picture-menu.html,
97,Flicker Phrase,Functions,15,https://programmingbydoing.com/a/flicker-phrase.html,
98,Returning a Value from a Function,Functions,15,https://docs.google.com/document/d/1s6_oQZJPmnkf7FykPphyUevZ8meRYnW8cTKs7MLUK6o/edit?usp=sharing,
99,Distance Formula,Functions,50,https://programmingbydoing.com/a/distance-formula.html,
100,Month Name,Functions,60,https://programmingbydoing.com/a/month-name.html,
101,Month Offset,Functions,60,https://programmingbydoing.com/a/month-offset.html,
102,Weekday Calculator,Functions,90,https://programmingbydoing.com/a/weekday-calculator.html,
103,Area of Shapes,Functions,50,https://docs.google.com/document/d/1OTEG_ri36-ttQV6zC1kmK-TEuMso_T9aBS-gr3N2nUs/edit?usp=sharing,
104,Thirty Days Revisited with Javadoc,Functions,15,https://docs.google.com/document/d/193QGR5GKNkqqUR40_GxZp0W5gaKESrhhpl7WIIrwzoM/edit?usp=sharing,
105,Importing Standard Libraries,Functions,15,https://docs.google.com/document/d/1lUyhCTiMOQ76hcFCyDxj2d50pMPUIDn0FwYJdYVVnGM/edit?usp=sharing,
106,Function Call Alphabet,Functions,90,https://programmingbydoing.com/a/function-call-alphabet.html,
107,Fill-In Functions,Functions,100,https://programmingbydoing.com/a/fill-in-functions.html,
108,More Fill-In Functions,Functions,100,https://programmingbydoing.com/a/more-fill-in-functions.html,
109,Keychains for Saleby Aaron Gadberry,Functions,40,https://programmingbydoing.com/a/keychains1.html,
110,"Keychains for Sale, for real this timeby Aaron Gadberry",Functions,65,https://programmingbydoing.com/a/keychains2.html,
111,"Keychains for Sale, real ultimate powerby Aaron Gadberry",Functions,80,https://programmingbydoing.com/a/keychains3.html,
112,Calling Functions from Other Files,Functions,40,https://programmingbydoing.com/a/calling-functions-from-other-files.html,
113,Evenness Function,Functions,60,https://programmingbydoing.com/a/evenness-function.html,
114,Finding Prime Numbers,Functions,85,https://programmingbydoing.com/a/finding-prime-numbers.html,
115,Baby Calculator,Functions,20,https://programmingbydoing.com/a/baby-calculator.html,
116,Project: Calculator,Functions,100,https://programmingbydoing.com/a/project-calculator.html,
117,Counting with a For Loop Explained,For Loops,10,https://drive.google.com/open?id=1HaMUjkw9HVNHSZXiLr4_g4pJYsii8eREDAIB7B-8X68,
118,Counting with a For Loop,For Loops,10,https://programmingbydoing.com/a/counting-for.html,
119,Ten Times,For Loops,15,https://programmingbydoing.com/a/ten-times.html,
120,Counting Machine,For Loops,20,https://programmingbydoing.com/a/counting-machine.html,
121,Counting Machine Revisited,For Loops,25,https://programmingbydoing.com/a/counting-machine-revisited.html,
122,Counting by Halves,For Loops,20,https://programmingbydoing.com/a/counting-by-halves.html,
123,Xs and Ys,For Loops,15,https://programmingbydoing.com/a/xs-and-ys.html,
124,Noticing Even Numbers,For Loops,30,https://programmingbydoing.com/a/noticing-even-numbers.html,
125,Fizz Buzz,For Loops,40,https://programmingbydoing.com/a/fizzbuzz.html,
126,Letter at a Time,For Loops,20,https://programmingbydoing.com/a/letter-at-a-time.html,
127,For Loop Challenge,For Loops,40,https://programmingbydoing.com/a/for-loop-challenge.html,
128,Adding Values with a For Loop,For Loops,30,https://programmingbydoing.com/a/adding-values-with-a-for-loop.html,
129,Baby Blackjack,For Loops,20,https://programmingbydoing.com/a/baby-blackjack.html,
130,Project: Blackjack,For Loops,100,https://programmingbydoing.com/a/project-blackjack.html,
131,A Refresher,Nested Loops,20,https://docs.google.com/document/d/1Ul34mwR0SEKUCRxmnHcuPFawtFhnCgixilq9alUqd4U/edit?usp=sharing,
132,Refresher Challenge,Nested Loops,20,https://drive.google.com/open?id=1ZZdRujRJgQpQ-Kc74fTVhszBqdzV5PYw-Ll-tOQ3X-4,
133,Displaying Some Multiples,Nested Loops,30,https://drive.google.com/open?id=1M10xD96nu-qENQOVWDkXWnPYjDmakK3c1PDdjX_IglA,
134,Nesting Loops,Nested Loops,20,https://docs.google.com/document/d/1FoIOzfh862cDMJefXGC6fDLaUoFnO0dlHivuJpNkyUw/edit?usp=sharing,
135,Generating and Filtering Values,Nested Loops,20,https://docs.google.com/document/d/1HHuaLK3KQXz60TMJgFCztarUvPhbEcrR_-AnJAtBsE8/edit?usp=sharing,
136,Odometer Loops,Nested Loops,25,https://drive.google.com/open?id=17w8ThwhCjIZa-b3qz9wBZ3ZHzePN7ZzmmFy8-Ng1Xrk,
137,Basic Nested Loops,Nested Loops,50,https://docs.google.com/document/d/1Euxy8J8PNzdAoH7naXs8ZmdJ1qRWDtmQSoTCiNhYENc/edit?usp=sharing,
138,Multiplication Table,Nested Loops,65,https://drive.google.com/open?id=1oq0EDy_OBxYWUwuKsRRuXjKkQMQ_t4fPLdvP7-OidtI,
139,Number Puzzle I,Nested Loops,60,https://docs.google.com/document/d/1p43j6PcuIQdilDROO2qw2Kz7RLbsg4c9EHAHhe-a2aM/edit?usp=sharing,
140,Getting Individual Digits,Nested Loops,80,https://docs.google.com/document/d/1j6GVkV-D60tJEeTz81PmVfCP95HVb7reYHDUSFt0uz8/edit?usp=sharing,
141,More Number Puzzles,Nested Loops,100,https://drive.google.com/open?id=1hOYasf5wP9Nr8XyP6G82kd6BeDYQPE7jqXK9ps4mE8Y,
